stimuli_pair1,stimuli_pair2,correct_key,Format,Size,Stim_1,Stim_2,SUM_DIVIDEDBY2,NUMERICAL_DISTANCE,Stimuli_Set
resources/SD_blockA/N1_D7.png,resources/SD_blockA/N2_D5.png,right,nonsymbolic,singledigit,1,2,1.5,1,D
resources/SD_blockA/N3_D6.png,resources/SD_blockA/N1_D5.png,left,nonsymbolic,singledigit,3,1,2,2,D
resources/SD_blockA/N4_C7.png,resources/SD_blockA/N1_C7.png,left,nonsymbolic,singledigit,4,1,2.5,3,C
resources/SD_blockA/N8_B8.png,resources/SD_blockA/N6_B3.png,left,nonsymbolic,singledigit,8,6,7,2,B
resources/SD_blockA/N9_C5.png,resources/SD_blockA/N7_C3.png,left,nonsymbolic,singledigit,9,7,8,2,C
resources/SD_blockA/N5_B3.png,resources/SD_blockA/N7_B8.png,right,nonsymbolic,singledigit,5,7,6,2,B
resources/SD_blockA/N9_B7.png,resources/SD_blockA/N3_B7.png,left,nonsymbolic,singledigit,9,3,6,6,B
resources/SD_blockA/N7_D6.png,resources/SD_blockA/N3_D4.png,left,nonsymbolic,singledigit,7,3,5,4,D
resources/SD_blockA/N9_B8.png,resources/SD_blockA/N4_B3.png,left,nonsymbolic,singledigit,9,4,6.5,5,B
resources/SD_blockA/N7_A2.png,resources/SD_blockA/N4_A2.png,left,nonsymbolic,singledigit,7,4,5.5,3,A
resources/SD_blockA/N8_A3.png,resources/SD_blockA/N1_A7.png,left,nonsymbolic,singledigit,8,1,4.5,7,A
resources/SD_blockA/N4_A8.png,resources/SD_blockA/N3_A8.png,left,nonsymbolic,singledigit,4,3,3.5,1,A
resources/SD_blockA/N9_D4.png,resources/SD_blockA/N8_D1.png,left,nonsymbolic,singledigit,9,8,8.5,1,D
resources/SD_blockA/N1_B8.png,resources/SD_blockA/N6_B7.png,right,nonsymbolic,singledigit,1,6,3.5,5,B
resources/SD_blockA/N2_A6.png,resources/SD_blockA/N5_A4.png,right,nonsymbolic,singledigit,2,5,3.5,3,A
resources/SD_blockA/N9_D5.png,resources/SD_blockA/N5_D4.png,left,nonsymbolic,singledigit,9,5,7,4,D
resources/SD_blockA/N1_D5.png,resources/SD_blockA/N3_D6.png,right,nonsymbolic,singledigit,1,3,2,2,D
resources/SD_blockA/N9_A6.png,resources/SD_blockA/N2_A3.png,left,nonsymbolic,singledigit,9,2,5.5,7,A
resources/SD_blockA/N3_B7.png,resources/SD_blockA/N9_B7.png,right,nonsymbolic,singledigit,3,9,6,6,B
resources/SD_blockA/N6_C4.png,resources/SD_blockA/N5_C6.png,left,nonsymbolic,singledigit,6,5,5.5,1,C
resources/SD_blockA/N4_B3.png,resources/SD_blockA/N9_B8.png,right,nonsymbolic,singledigit,4,9,6.5,5,B
resources/SD_blockA/N6_B3.png,resources/SD_blockA/N8_B8.png,right,nonsymbolic,singledigit,6,8,7,2,B
resources/SD_blockA/N2_D5.png,resources/SD_blockA/N1_D7.png,left,nonsymbolic,singledigit,2,1,1.5,1,D
resources/SD_blockA/N7_D3.png,resources/SD_blockA/N8_D4.png,right,nonsymbolic,singledigit,7,8,7.5,1,D
resources/SD_blockA/N6_D8.png,resources/SD_blockA/N4_D8.png,left,nonsymbolic,singledigit,6,4,5,2,D
resources/SD_blockA/N9_C1.png,resources/SD_blockA/N6_C1.png,left,nonsymbolic,singledigit,9,6,7.5,3,C
resources/SD_blockA/N2_A3.png,resources/SD_blockA/N9_A6.png,right,nonsymbolic,singledigit,2,9,5.5,7,A
resources/SD_blockA/N2_B2.png,resources/SD_blockA/N8_B6.png,right,nonsymbolic,singledigit,2,8,5,6,B
resources/SD_blockA/N3_A8.png,resources/SD_blockA/N4_A8.png,right,nonsymbolic,singledigit,3,4,3.5,1,A
resources/SD_blockA/N5_C6.png,resources/SD_blockA/N6_C4.png,right,nonsymbolic,singledigit,5,6,5.5,1,C
resources/SD_blockA/N6_C1.png,resources/SD_blockA/N9_C1.png,right,nonsymbolic,singledigit,6,9,7.5,3,C
resources/SD_blockA/N8_D4.png,resources/SD_blockA/N7_D3.png,left,nonsymbolic,singledigit,8,7,7.5,1,D
resources/DD_blockA/DD15_D6.png,resources/DD_blockA/DD5_D3.png,left,nonsymbolic,doubledigit,15,5,10,10,D
resources/DD_blockA/DD35_C6.png,resources/DD_blockA/DD45_C7.png,right,nonsymbolic,doubledigit,35,45,40,10,C
resources/DD_blockA/DD10_A8.png,resources/DD_blockA/DD25_A7.png,right,nonsymbolic,doubledigit,10,25,17.5,15,A
resources/DD_blockA/DD10_B5.png,resources/DD_blockA/DD40_B7.png,right,nonsymbolic,doubledigit,10,40,25,30,B
resources/DD_blockA/DD5_A3.png,resources/DD_blockA/DD40_A5.png,right,nonsymbolic,doubledigit,5,40,22.5,35,A
resources/DD_blockA/DD35_B8.png,resources/DD_blockA/DD25_B4.png,left,nonsymbolic,doubledigit,35,25,30,10,B
resources/DD_blockA/DD5_B8.png,resources/DD_blockA/DD30_B7.png,right,nonsymbolic,doubledigit,5,30,17.5,25,B
resources/DD_blockA/DD30_D5.png,resources/DD_blockA/DD10_D7.png,left,nonsymbolic,doubledigit,30,10,20,20,D
resources/DD_blockA/DD20_B1.png,resources/DD_blockA/DD45_B4.png,right,nonsymbolic,doubledigit,20,45,32.5,25,B
resources/DD_blockA/DD20_D3.png,resources/DD_blockA/DD30_D6.png,right,nonsymbolic,doubledigit,20,30,25,10,D
resources/DD_blockA/DD40_B7.png,resources/DD_blockA/DD10_B5.png,left,nonsymbolic,doubledigit,40,10,25,30,B
resources/DD_blockA/DD20_A3.png,resources/DD_blockA/DD15_A4.png,left,nonsymbolic,doubledigit,20,15,17.5,5,A
resources/DD_blockA/DD40_B8.png,resources/DD_blockA/DD30_B1.png,left,nonsymbolic,doubledigit,40,30,35,10,B
resources/DD_blockA/DD25_C7.png,resources/DD_blockA/DD5_C1.png,left,nonsymbolic,doubledigit,25,5,15,20,C
resources/DD_blockA/DD15_A4.png,resources/DD_blockA/DD20_A3.png,right,nonsymbolic,doubledigit,15,20,17.5,5,A
resources/DD_blockA/DD15_A1.png,resources/DD_blockA/DD30_A8.png,right,nonsymbolic,doubledigit,15,30,22.5,15,A
resources/DD_blockA/DD25_B4.png,resources/DD_blockA/DD35_B8.png,right,nonsymbolic,doubledigit,25,35,30,10,B
resources/DD_blockA/DD30_A1.png,resources/DD_blockA/DD35_A8.png,right,nonsymbolic,doubledigit,30,35,32.5,5,A
resources/DD_blockA/DD5_C1.png,resources/DD_blockA/DD25_C7.png,right,nonsymbolic,doubledigit,5,25,15,20,C
resources/DD_blockA/DD30_C5.png,resources/DD_blockA/DD25_C2.png,left,nonsymbolic,doubledigit,30,25,27.5,5,C
resources/DD_blockA/DD25_A2.png,resources/DD_blockA/DD40_A2.png,right,nonsymbolic,doubledigit,25,40,32.5,15,A
resources/DD_blockA/DD25_D2.png,resources/DD_blockA/DD20_D1.png,left,nonsymbolic,doubledigit,25,20,22.5,5,D
resources/DD_blockA/DD10_D8.png,resources/DD_blockA/DD5_D6.png,left,nonsymbolic,doubledigit,10,5,7.5,5,D
resources/DD_blockA/DD20_C7.png,resources/DD_blockA/DD5_C6.png,left,nonsymbolic,doubledigit,20,5,12.5,15,C
resources/DD_blockA/DD5_B2.png,resources/DD_blockA/DD35_B1.png,right,nonsymbolic,doubledigit,5,35,20,30,B
resources/DD_blockA/DD15_D5.png,resources/DD_blockA/DD35_D8.png,right,nonsymbolic,doubledigit,15,35,25,20,D
resources/DD_blockA/DD30_C3.png,resources/DD_blockA/DD45_C5.png,right,nonsymbolic,doubledigit,30,45,37.5,15,C
resources/DD_blockA/DD25_D1.png,resources/DD_blockA/DD45_D1.png,right,nonsymbolic,doubledigit,25,45,35,20,D
resources/DD_blockA/DD10_A6.png,resources/DD_blockA/DD45_A8.png,right,nonsymbolic,doubledigit,10,45,27.5,35,A
resources/DD_blockA/DD10_D7.png,resources/DD_blockA/DD30_D5.png,right,nonsymbolic,doubledigit,10,30,20,20,D
resources/DD_blockA/DD15_B5.png,resources/DD_blockA/DD25_B6.png,right,nonsymbolic,doubledigit,15,25,20,10,B
resources/DD_blockA/DD45_B4.png,resources/DD_blockA/DD20_B1.png,left,nonsymbolic,doubledigit,45,20,32.5,25,B
